,Year,Month,Day,Hour,GHI,Energy,conversion_efficiency
9172,2020,7,10,5,86,0.0,0.049977853866393245
9173,2020,7,11,5,39,0.0,0.049977853866393245
9175,2020,7,12,5,80,0.0,0.049977853866393245
9176,2020,7,13,5,80,0.0,0.049977853866393245
9164,2020,6,14,5,101,0.0,0.049977853866393245
8056,2018,6,28,5,96,0.0,0.049977853866393245
8080,2018,7,21,5,59,0.0,0.049977853866393245
8059,2018,6,29,5,89,0.0,0.049977853866393245
8541,2019,4,14,5,2,0.0,0.049977853866393245
6284,2013,8,19,5,11,0.0,0.049977853866393245
8543,2019,4,15,5,8,0.0,0.049977853866393245
8545,2019,4,16,5,8,0.0,0.049977853866393245
6286,2013,8,20,5,8,0.0,0.049977853866393245
8547,2019,4,17,5,2,0.0,0.049977853866393245
8549,2019,4,18,5,5,0.0,0.049977853866393245
6288,2013,8,21,5,8,0.0,0.049977853866393245
8551,2019,4,19,5,16,0.0,0.049977853866393245
6282,2013,8,18,5,15,0.0,0.049977853866393245
8553,2019,4,20,5,17,0.0,0.049977853866393245
8558,2019,4,22,5,13,0.0,0.049977853866393245
8560,2019,4,23,5,21,0.0,0.049977853866393245
8562,2019,4,24,5,11,0.0,0.049977853866393245
8564,2019,4,25,5,27,0.0,0.049977853866393245
8567,2019,4,26,5,34,0.0,0.049977853866393245
8570,2019,4,27,5,6,0.0,0.049977853866393245
8572,2019,4,28,5,36,0.0,0.049977853866393245
8574,2019,4,29,5,5,0.0,0.049977853866393245
8579,2019,4,30,5,5,0.0,0.049977853866393245
8556,2019,4,21,5,17,0.0,0.049977853866393245
8538,2019,4,13,5,5,0.0,0.049977853866393245
6280,2013,8,17,5,16,0.0,0.049977853866393245
8535,2019,4,12,5,1,0.0,0.049977853866393245
6107,2013,4,24,5,25,0.0,0.049977853866393245
6105,2013,4,23,5,7,0.0,0.049977853866393245
6104,2013,4,22,5,7,0.0,0.049977853866393245
6255,2013,8,4,5,42,0.0,0.049977853866393245
6102,2013,4,21,5,5,0.0,0.049977853866393245
6100,2013,4,20,5,18,0.0,0.049977853866393245
