,Year,Month,Day,GHI,Energy,conversion_efficiency
8578,2021,1,2,48,0.0,0.021076165549330592
1804,2012,9,2,38,0.0,0.02538197271449368
8617,2021,2,2,92,0.162018418,0.021076165549330592
7404,2014,1,2,48,0.0,0.021076165549330592
7343,2013,12,2,25,0.0,0.021076165549330592
8618,2021,2,2,121,0.162018433,0.021076165549330592
2002,2013,6,2,198,0.058624413,0.02538197271449368
12219,2021,1,2,153,0.0,0.01986755472438175
2003,2013,6,2,294,0.633000016,0.02538197271449368
8541,2020,12,2,92,0.16195856,0.021076165549330592
8239,2019,2,2,72,0.0,0.021076165549330592
361,2012,7,2,25,0.0,0.006189134347155545
1893,2013,4,2,98,0.0,0.02538197271449368
7927,2017,11,2,103,0.074500002,0.021076165549330592
7790,2016,11,2,74,0.019000001,0.021076165549330592
7741,2016,3,2,161,0.097000003,0.021076165549330592
7974,2017,12,2,158,0.065000005,0.021076165549330592
1742,2012,8,2,52,0.0,0.02538197271449368
8012,2018,1,2,124,0.160930216,0.021076165549330592
12274,2021,2,2,146,0.0,0.01986755472438175
12273,2021,2,2,205,0.0,0.01986755472438175
1853,2012,10,2,42,0.0,0.02538197271449368
7665,2015,11,2,190,0.0,0.021076165549330592
7926,2017,11,2,54,0.0,0.021076165549330592
8047,2018,2,2,181,0.010000001,0.021076165549330592
7892,2017,4,2,241,0.529500008,0.021076165549330592
7891,2017,4,2,120,0.107500002,0.021076165549330592
7860,2017,3,2,127,0.198500007,0.021076165549330592
7625,2015,3,2,94,0.163324058,0.021076165549330592
7586,2014,12,2,160,0.082513109,0.021076165549330592
8238,2019,2,2,48,0.0,0.021076165549330592
212,2011,8,2,26,0.0,0.006189134347155545
8205,2019,1,2,107,0.13440229,0.021076165549330592
12324,2011,11,2,5,0.006,0.01465009186851987
1652,2012,6,2,122,0.0,0.02538197271449368
8145,2018,11,2,108,0.074500009,0.021076165549330592
7973,2017,12,2,85,0.0,0.021076165549330592
8144,2018,11,2,44,0.0,0.021076165549330592
12368,2014,2,2,220,0.403500021,0.01465009186851987
1693,2012,7,2,160,0.0,0.02538197271449368
1694,2012,7,2,245,0.463500023,0.02538197271449368
7818,2016,12,2,21,0.0,0.021076165549330592
8093,2018,3,2,192,0.044500001,0.021076165549330592
7830,2017,2,2,104,0.014500001,0.021076165549330592
1892,2013,4,2,21,0.0,0.02538197271449368
8046,2018,2,2,97,0.0,0.021076165549330592
8888,2012,12,2,81,0.136474684,0.025337925396366326
1455,2011,9,2,28,0.0,0.02538197271449368
